flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,time_sec_start,time_sec_end,embedded_z,abs_z_diff
30958,13806,7,142,14,1,1,0,0.4723331332206726,5.546875,5.5859375,0.6744897365570068,0.20215660333633423
30959,13807,7,142,15,1,1,0,0.02669157087802887,5.546875,5.5859375,0.6744897365570068,0.647798165678978
30960,13808,7,143,0,1,1,0,0.5255782008171082,5.5859375,5.625,0.6744897365570068,0.14891153573989868
30961,13809,7,143,1,0,0,0,-0.939552903175354,5.5859375,5.625,-0.6744897365570068,0.26506316661834717
30962,13810,7,143,2,0,0,0,-0.6924597024917603,5.5859375,5.625,-0.6744897365570068,0.017969965934753418
30963,13811,7,143,3,1,1,0,0.42307665944099426,5.5859375,5.625,0.6744897365570068,0.2514130771160126
30964,13812,7,143,4,1,1,0,0.6038719415664673,5.5859375,5.625,0.6744897365570068,0.07061779499053955
30965,13813,7,143,5,1,1,0,0.027864407747983932,5.5859375,5.625,0.6744897365570068,0.6466253288090229
30966,13814,7,143,6,0,0,0,-1.2005687952041626,5.5859375,5.625,-0.6744897365570068,0.5260790586471558
30967,13815,7,143,7,1,1,0,0.39880692958831787,5.5859375,5.625,0.6744897365570068,0.27568280696868896
30968,13816,7,143,8,0,0,0,-0.9500792622566223,5.5859375,5.625,-0.6744897365570068,0.2755895256996155
30969,13817,7,143,9,0,0,0,-0.7443841695785522,5.5859375,5.625,-0.6744897365570068,0.06989443302154541
30970,13818,7,143,10,1,1,0,0.07961386442184448,5.5859375,5.625,0.6744897365570068,0.5948758721351624
30971,13819,7,143,11,0,0,0,-0.5056444406509399,5.5859375,5.625,-0.6744897365570068,0.1688452959060669
30972,13820,7,143,12,1,1,0,0.36782363057136536,5.5859375,5.625,0.6744897365570068,0.3066661059856415
30973,13821,7,143,13,0,0,0,-1.157342791557312,5.5859375,5.625,-0.6744897365570068,0.4828530550003052
30974,13822,7,143,14,1,1,0,0.20096974074840546,5.5859375,5.625,0.6744897365570068,0.4735199958086014
30975,13823,7,143,15,0,0,0,-1.6530466079711914,5.5859375,5.625,-0.6744897365570068,0.9785568714141846
