flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,time_sec_start,time_sec_end,embedded_z,abs_z_diff
20551,5831,5,4,7,1,0,1,-0.6394675374031067,0.15625,0.1953125,0.6744897365570068,1.3139572739601135
20560,5840,5,5,0,1,0,1,-0.31377580761909485,0.1953125,0.234375,0.6744897365570068,0.9882655441761017
20567,5847,5,5,7,1,0,1,-0.10984406620264053,0.1953125,0.234375,0.6744897365570068,0.7843338027596474
20568,5848,5,5,8,1,0,1,-0.18374167382717133,0.1953125,0.234375,0.6744897365570068,0.8582314103841782
20569,5849,5,5,9,1,0,1,-0.05294499173760414,0.1953125,0.234375,0.6744897365570068,0.727434728294611
20576,5856,5,6,0,1,0,1,-0.09955448657274246,0.234375,0.2734375,0.6744897365570068,0.7740442231297493
20581,5861,5,6,5,1,0,1,-0.05828092619776726,0.234375,0.2734375,0.6744897365570068,0.7327706627547741
20605,5885,5,7,13,1,0,1,-0.10786817967891693,0.2734375,0.3125,0.6744897365570068,0.7823579162359238
20624,5904,5,9,0,1,0,1,-0.32216042280197144,0.3515625,0.390625,0.6744897365570068,0.9966501593589783
20628,5908,5,9,4,1,0,1,-0.19441327452659607,0.3515625,0.390625,0.6744897365570068,0.8689030110836029
20633,5913,5,9,9,0,1,1,0.09005109965801239,0.3515625,0.390625,-0.6744897365570068,0.7645408362150192
20635,5915,5,9,11,0,1,1,0.32991230487823486,0.3515625,0.390625,-0.6744897365570068,1.0044020414352417
20636,5916,5,9,12,0,1,1,0.017812998965382576,0.3515625,0.390625,-0.6744897365570068,0.6923027355223894
20640,5920,5,10,0,1,0,1,-0.80192631483078,0.390625,0.4296875,0.6744897365570068,1.4764160513877869
20642,5922,5,10,2,1,0,1,-0.28423449397087097,0.390625,0.4296875,0.6744897365570068,0.9587242305278778
20655,5935,5,10,15,1,0,1,-1.1415845155715942,0.390625,0.4296875,0.6744897365570068,1.816074252128601
20657,5937,5,11,1,1,0,1,-0.2929098904132843,0.4296875,0.46875,0.6744897365570068,0.9673996269702911
20664,5944,5,11,8,1,0,1,-0.8869714736938477,0.4296875,0.46875,0.6744897365570068,1.5614612102508545
20666,5946,5,11,10,1,0,1,-0.2986525893211365,0.4296875,0.46875,0.6744897365570068,0.9731423258781433
20671,5951,5,11,15,1,0,1,-0.2139616757631302,0.4296875,0.46875,0.6744897365570068,0.888451412320137
20673,5953,5,12,1,1,0,1,-0.6103148460388184,0.46875,0.5078125,0.6744897365570068,1.2848045825958252
20689,5969,5,13,1,1,0,1,-0.006150670815259218,0.5078125,0.546875,0.6744897365570068,0.680640407372266
20697,5977,5,13,9,1,0,1,-0.1168956309556961,0.5078125,0.546875,0.6744897365570068,0.7913853675127029
20699,5979,5,13,11,1,0,1,-0.33425983786582947,0.5078125,0.546875,0.6744897365570068,1.0087495744228363
20700,5980,5,13,12,1,0,1,-0.03096780739724636,0.5078125,0.546875,0.6744897365570068,0.7054575439542532
20703,5983,5,13,15,1,0,1,-0.16240662336349487,0.5078125,0.546875,0.6744897365570068,0.8368963599205017
20705,5985,5,14,1,1,0,1,-0.010993960313498974,0.546875,0.5859375,0.6744897365570068,0.6854836968705058
20707,5987,5,14,3,1,0,1,-0.3575994372367859,0.546875,0.5859375,0.6744897365570068,1.0320891737937927
20729,6009,5,15,9,1,0,1,-0.0017917371587827802,0.5859375,0.625,0.6744897365570068,0.6762814737157896
20740,6020,5,16,4,1,0,1,-0.006426960229873657,0.625,0.6640625,0.6744897365570068,0.6809166967868805
20745,6025,5,16,9,1,0,1,-0.1346026211977005,0.625,0.6640625,0.6744897365570068,0.8090923577547073
