flat_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
3321,0,207,9,1,0,1,-1.856135368347168,0.6744897365570068,2.530625104904175
3322,0,207,10,1,0,1,-2.2413675785064697,0.6744897365570068,2.9158573150634766
3323,0,207,11,1,0,1,-0.7305373549461365,0.6744897365570068,1.4050270915031433
3324,0,207,12,1,0,1,-1.1164740324020386,0.6744897365570068,1.7909637689590454
3326,0,207,14,1,0,1,-1.0494143962860107,0.6744897365570068,1.7239041328430176
3330,0,208,2,1,0,1,-1.277765154838562,0.6744897365570068,1.9522548913955688
3333,0,208,5,1,0,1,-2.5642106533050537,0.6744897365570068,3.2387003898620605
3337,0,208,9,1,0,1,-0.6404590606689453,0.6744897365570068,1.3149487972259521
3338,0,208,10,1,0,1,-1.669068455696106,0.6744897365570068,2.343558192253113
3339,0,208,11,1,0,1,-1.1115728616714478,0.6744897365570068,1.7860625982284546
3340,0,208,12,1,0,1,-1.4931085109710693,0.6744897365570068,2.167598247528076
3341,0,208,13,1,0,1,-1.960999846458435,0.6744897365570068,2.635489583015442
3343,0,208,15,1,0,1,-1.5616512298583984,0.6744897365570068,2.2361409664154053
3345,0,209,1,1,0,1,-1.240334391593933,0.6744897365570068,1.91482412815094
3346,0,209,2,1,0,1,-1.374758243560791,0.6744897365570068,2.049247980117798
3348,0,209,4,1,0,1,-0.7721126079559326,0.6744897365570068,1.4466023445129395
3351,0,209,7,1,0,1,-1.5134612321853638,0.6744897365570068,2.1879509687423706
3352,0,209,8,1,0,1,-1.4161943197250366,0.6744897365570068,2.0906840562820435
3354,0,209,10,1,0,1,-1.5387195348739624,0.6744897365570068,2.2132092714309692
3357,0,209,13,1,0,1,-1.1245629787445068,0.6744897365570068,1.7990527153015137
3358,0,209,14,1,0,1,-1.238629698753357,0.6744897365570068,1.9131194353103638
3359,0,209,15,1,0,1,-0.9191263914108276,0.6744897365570068,1.5936161279678345
3360,0,210,0,1,0,1,-1.9046427011489868,0.6744897365570068,2.5791324377059937
3364,0,210,4,1,0,1,-1.9418691396713257,0.6744897365570068,2.6163588762283325
3365,0,210,5,1,0,1,-2.1163156032562256,0.6744897365570068,2.7908053398132324
