flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
20406,8118,4,251,6,0,0,0,-0.9529389142990112,-0.6744897365570068,0.2784491777420044
20407,8119,4,251,7,0,1,1,0.11959845572710037,-0.6744897365570068,0.7940881922841072
20408,8120,4,251,8,1,1,0,0.15044939517974854,0.6744897365570068,0.5240403413772583
20409,8121,4,251,9,1,0,1,-0.5518702864646912,0.6744897365570068,1.226360023021698
20410,8122,4,251,10,1,1,0,0.2490275502204895,0.6744897365570068,0.42546218633651733
20411,8123,4,251,11,0,1,1,0.21948128938674927,-0.6744897365570068,0.8939710259437561
20412,8124,4,251,12,1,0,1,-0.01578424870967865,0.6744897365570068,0.6902739852666855
20413,8125,4,251,13,0,0,0,-0.19930902123451233,-0.6744897365570068,0.4751807153224945
20414,8126,4,251,14,0,1,1,0.40240591764450073,-0.6744897365570068,1.0768956542015076
20415,8127,4,251,15,1,0,1,-0.12971393764019012,0.6744897365570068,0.804203674197197
20416,8128,4,252,0,0,0,0,-0.4521244466304779,-0.6744897365570068,0.22236528992652893
20417,8129,4,252,1,0,0,0,-0.04297124966979027,-0.6744897365570068,0.6315184868872166
20418,8130,4,252,2,0,0,0,-0.6934435963630676,-0.6744897365570068,0.01895385980606079
20419,8131,4,252,3,0,0,0,-0.5553233027458191,-0.6744897365570068,0.11916643381118774
20420,8132,4,252,4,0,0,0,-0.5795421600341797,-0.6744897365570068,0.09494757652282715
20421,8133,4,252,5,0,0,0,-0.5225153565406799,-0.6744897365570068,0.1519743800163269
20422,8134,4,252,6,0,0,0,-0.28650400042533875,-0.6744897365570068,0.3879857361316681
20423,8135,4,252,7,1,0,1,-0.3662015199661255,0.6744897365570068,1.0406912565231323
20424,8136,4,252,8,1,0,1,-0.8275803327560425,0.6744897365570068,1.5020700693130493
20425,8137,4,252,9,1,0,1,-0.8766530752182007,0.6744897365570068,1.5511428117752075
20426,8138,4,252,10,0,0,0,-0.7490330934524536,-0.6744897365570068,0.07454335689544678
20427,8139,4,252,11,0,0,0,-1.045232892036438,-0.6744897365570068,0.37074315547943115
20428,8140,4,252,12,1,0,1,-0.556512713432312,0.6744897365570068,1.2310024499893188
20429,8141,4,252,13,0,1,1,0.2711285352706909,-0.6744897365570068,0.9456182718276978
20430,8142,4,252,14,0,0,0,-0.2579318881034851,-0.6744897365570068,0.41655784845352173
20431,8143,4,252,15,1,0,1,-0.25535300374031067,0.6744897365570068,0.9298427402973175
20432,8144,4,253,0,0,0,0,-0.5661280751228333,-0.6744897365570068,0.10836166143417358
20433,8145,4,253,1,0,0,0,-0.15131045877933502,-0.6744897365570068,0.5231792777776718
20434,8146,4,253,2,1,1,0,0.9262324571609497,0.6744897365570068,0.25174272060394287
20435,8147,4,253,3,1,0,1,-0.44464871287345886,0.6744897365570068,1.1191384494304657
20436,8148,4,253,4,0,0,0,-0.894774854183197,-0.6744897365570068,0.22028511762619019
20437,8149,4,253,5,1,0,1,-0.8103044629096985,0.6744897365570068,1.4847941994667053
20438,8150,4,253,6,0,1,1,0.051205847412347794,-0.6744897365570068,0.7256955839693546
20439,8151,4,253,7,0,0,0,-0.9373873472213745,-0.6744897365570068,0.2628976106643677
20440,8152,4,253,8,1,1,0,0.26315051317214966,0.6744897365570068,0.4113392233848572
20441,8153,4,253,9,1,0,1,-0.49488475918769836,0.6744897365570068,1.1693744957447052
20442,8154,4,253,10,0,0,0,-0.6733452677726746,-0.6744897365570068,0.0011444687843322754
20443,8155,4,253,11,0,0,0,-1.196671724319458,-0.6744897365570068,0.5221819877624512
20444,8156,4,253,12,1,0,1,-0.8494508862495422,0.6744897365570068,1.523940622806549
20445,8157,4,253,13,1,0,1,-0.2552051246166229,0.6744897365570068,0.9296948611736298
20446,8158,4,253,14,0,0,0,-0.531191349029541,-0.6744897365570068,0.14329838752746582
20447,8159,4,253,15,1,0,1,-0.1535349190235138,0.6744897365570068,0.8280246555805206
20448,8160,4,254,0,0,0,0,-0.4111493229866028,-0.6744897365570068,0.26334041357040405
20449,8161,4,254,1,0,0,0,-0.17780816555023193,-0.6744897365570068,0.4966815710067749
20450,8162,4,254,2,0,1,1,0.7672962546348572,-0.6744897365570068,1.441785991191864
20451,8163,4,254,3,1,1,0,0.6701162457466125,0.6744897365570068,0.004373490810394287
20452,8164,4,254,4,0,1,1,0.5904883146286011,-0.6744897365570068,1.264978051185608
20453,8165,4,254,5,1,1,0,0.029815899208188057,0.6744897365570068,0.6446738373488188
20454,8166,4,254,6,0,1,1,0.335420161485672,-0.6744897365570068,1.0099098980426788
20455,8167,4,254,7,1,1,0,0.8295612931251526,0.6744897365570068,0.15507155656814575
20456,8168,4,254,8,0,1,1,0.42421552538871765,-0.6744897365570068,1.0987052619457245
20457,8169,4,254,9,0,1,1,0.1164020299911499,-0.6744897365570068,0.7908917665481567
20458,8170,4,254,10,1,1,0,0.41611137986183167,0.6744897365570068,0.25837835669517517
20459,8171,4,254,11,1,0,1,-0.42682701349258423,0.6744897365570068,1.101316750049591
20460,8172,4,254,12,1,1,0,0.791869580745697,0.6744897365570068,0.11737984418869019
20461,8173,4,254,13,0,1,1,0.7169840931892395,-0.6744897365570068,1.3914738297462463
20462,8174,4,254,14,1,1,0,0.29449722170829773,0.6744897365570068,0.3799925148487091
20463,8175,4,254,15,1,0,1,-0.5245288610458374,0.6744897365570068,1.1990185976028442
20464,8176,4,255,0,1,0,1,-1.6656428575515747,0.6744897365570068,2.3401325941085815
20465,8177,4,255,1,1,0,1,-1.3084161281585693,0.6744897365570068,1.9829058647155762
20466,8178,4,255,2,0,0,0,-0.5495468974113464,-0.6744897365570068,0.1249428391456604
20467,8179,4,255,3,1,0,1,-0.4432581663131714,0.6744897365570068,1.1177479028701782
20468,8180,4,255,4,1,0,1,-0.15948417782783508,0.6744897365570068,0.8339739143848419
20469,8181,4,255,5,1,0,1,-0.5958874225616455,0.6744897365570068,1.2703771591186523
20470,8182,4,255,6,0,0,0,-0.20385250449180603,-0.6744897365570068,0.4706372320652008
20471,8183,4,255,7,0,0,0,-0.7527731657028198,-0.6744897365570068,0.07828342914581299
20472,8184,4,255,8,1,0,1,-0.3149086833000183,0.6744897365570068,0.9893984198570251
20473,8185,4,255,9,0,1,1,0.17407140135765076,-0.6744897365570068,0.8485611379146576
20474,8186,4,255,10,1,0,1,-0.32522204518318176,0.6744897365570068,0.9997117817401886
20475,8187,4,255,11,0,0,0,-0.4330926537513733,-0.6744897365570068,0.24139708280563354
20476,8188,4,255,12,1,0,1,-0.421734482049942,0.6744897365570068,1.0962242186069489
20477,8189,4,255,13,1,0,1,-0.2728680968284607,0.6744897365570068,0.9473578333854675
20478,8190,4,255,14,1,0,1,-0.7059270739555359,0.6744897365570068,1.3804168105125427
20479,8191,4,255,15,0,1,1,0.06328104436397552,-0.6744897365570068,0.7377707809209824
20480,8192,5,0,0,0,0,0,-1.7630738019943237,-0.6744897365570068,1.088584065437317
20481,8193,5,0,1,1,0,1,-0.052506569772958755,0.6744897365570068,0.7269963063299656
20482,8194,5,0,2,0,0,0,-1.4787571430206299,-0.6744897365570068,0.804267406463623
20483,8195,5,0,3,0,0,0,-2.116560459136963,-0.6744897365570068,1.442070722579956
20484,8196,5,0,4,0,0,0,-1.707008957862854,-0.6744897365570068,1.0325192213058472
20485,8197,5,0,5,0,0,0,-1.7911717891693115,-0.6744897365570068,1.1166820526123047
20486,8198,5,0,6,1,1,0,0.9947120547294617,0.6744897365570068,0.32022231817245483
20487,8199,5,0,7,1,1,0,0.3617422878742218,0.6744897365570068,0.31274744868278503
20488,8200,5,0,8,1,1,0,0.5106820464134216,0.6744897365570068,0.1638076901435852
20489,8201,5,0,9,1,0,1,-0.20425912737846375,0.6744897365570068,0.8787488639354706
20490,8202,5,0,10,0,0,0,-1.1243845224380493,-0.6744897365570068,0.4498947858810425
20491,8203,5,0,11,0,0,0,-1.0674128532409668,-0.6744897365570068,0.39292311668395996
20492,8204,5,0,12,0,0,0,-1.3053474426269531,-0.6744897365570068,0.6308577060699463
20493,8205,5,0,13,1,0,1,-0.3878670632839203,0.6744897365570068,1.0623567998409271
20494,8206,5,0,14,0,0,0,-1.4722317457199097,-0.6744897365570068,0.7977420091629028
20495,8207,5,0,15,0,1,1,0.6563433408737183,-0.6744897365570068,1.330833077430725
20496,8208,5,1,0,0,0,0,-0.6261827945709229,-0.6744897365570068,0.048306941986083984
20497,8209,5,1,1,0,0,0,-1.3019797801971436,-0.6744897365570068,0.6274900436401367
20498,8210,5,1,2,0,0,0,-0.8025661706924438,-0.6744897365570068,0.128076434135437
